id,Name,Base Value,log (mean),SE of ln distribution,alpha,beta,fixed_num,Distribution type,DESCRIPTION
72,u_d_recurrence,0.0034,,,,,,Triangular,Decrement AF recurrence
73,u_d_compli,0.0027,,,,,,Triangular,Decrement Surgical complications
74,u_d_bleeding,0.06,,,,,,Triangular,Decrement GI bleeding
75,u_d_AAD_NSF,0.0199,,,,,,Triangular,Decrement for NSF given AAD
76,u_d_AAD_AF,0.0925,,,,,,Triangular,Decrement for AF given AAD:
77,u_d_AADtoxiticity,0.0329,,,,,,Triangular,Decrement for AAD toxicity:
78,u_m_stroke,0.5,,,,,,Triangular,Multiplier for a non-fatal stroke evet (year 1):
79,u_m_poststroke,0.63,,,,,,Triangular,Multiplier for post-stroke (year 2+):
80,u_m_ICH,0.5,,,,,,Triangular,Multiplier for a non-fatal ICH event (year 1):
81,u_m_postICH,0.63,,,,,,Triangular,Multiplier for post-ICH (year 2+):
82,u_d_hf,0.147,,,,,,Triangular,Decrement  for  heart Failure
83,u_mi,0.44,,,,,,Triangular,Utility of MI
84,u_d_postMI,0.127,,,,,,Triangular,Decrement for post MI
85,d_cost,3.50%,,,,,,Triangular,Discount rate of cost
86,d_qaly,3.50%,,,,,,Triangular,Discount rate of QALY
87,rr_anticog,2.78,,,,,,Constant,RR Stroke nonanticoagulation vs anticoagulation 
88,p_AAD,48%,,,,,,Uniform,Percentage of AAD usage when AF in long-term
89,c_MI_fixed,,,,,,11505s34514,Triangular2,Cost of MI management_low
90,c_postMI_fixed,,,,,,101s303,Triangular2,Cost of MI management_high
93,recurrence_cb_st_PAF,0.3831,,,,,,lognormal,AF recurrence ICE short-term PAF
94,recurrence_cb_st_PsAF,0.7194,,,,,,lognormal,AF recurrence ICE short-term PsAF
95,threadhold,16400,,,,,,constant,Threadhold
96,GDP_per_Capita,53980,,,,,,constant,GDP_per_Capita
97,Times_of_GDP_per_Capita,3,,,,,,constant,Times_of_GDP_per_Capita
